quarter,sh_ret,alla_ret,flow_score,flow_bucket,scissors,m2_yoy,amount_yoy,north_yi,rz_chg,ipo_yi,inc_capital,ret_next1,ret_next4,alla_next1
2006Q4,0.5267275499536643,0.3183151516360203,0.051428151830865174,大幅流入,0.5399999999999991,16.94,3.1111131758801758,,,,,0.19006314395131474,0.9665909666847816,0.46897485047000553
2007Q1,0.19006314395131474,0.46897485047000553,0.4786467277363252,大幅流入,2.539999999999999,17.27,3.375309652155507,,,,,0.19997594208260527,0.0906820168323763,0.3122563276501127
2007Q2,0.19997594208260527,0.3122563276501127,0.8526763237065498,大幅流入,3.860000000000003,17.06,1.8513316910079456,,,,,0.45321450005404773,-0.28387445975256387,0.45157421289355293
2007Q3,0.45321450005404773,0.45157421289355293,0.903413346556903,大幅流入,3.620000000000001,18.45,2.890996487532241,,,,,-0.052363515594705756,-0.5868768642045884,-0.03834680010821778
2007Q4,-0.052363515594705756,-0.03834680010821778,0.3074554259674973,大幅流入,4.300000000000001,16.7,0.43410205050345363,,,,,-0.3399845255107655,-0.6539421841000479,-0.25465733170171334
2008Q1,-0.3399845255107655,-0.25465733170171334,-0.1013094579721559,流入,1.7799999999999976,16.19,-0.07869877830571148,,,,,-0.21211369900132837,-0.31661124889963554,-0.2651613341194603
2008Q2,-0.21211369900132837,-0.2651613341194603,-0.42740057712956947,流出,-3.1800000000000015,17.37,-0.34342127633899167,,,,,-0.16166021527698338,0.08159743986246121,-0.19993866925105486
2008Q3,-0.16166021527698338,-0.19993866925105486,-0.5587458597168158,大幅流出,-5.859999999999999,15.29,-0.41020401319420297,,,,,-0.20620032226225316,0.21172089438238276,-0.1505059452374219
2008Q4,-0.20620032226225316,-0.1505059452374219,-0.26868447781305566,中性,-8.76,17.82,0.4640721652534261,,,,,0.30338668885465503,0.7998297456344856,0.4124699832359202
2009Q1,0.30338668885465503,0.4124699832359202,-0.6068280493862783,大幅流出,-8.470000000000002,25.51,0.9575911190091606,,,,,0.2469854159740401,0.31008257581599263,0.24279450924518842
2009Q2,0.2469854159740401,0.24279450924518842,0.019736058885714475,流入,-3.6700000000000017,28.46,1.3291791112209457,,,,,-0.060802294548622404,-0.18956518330640193,-0.03801016869071372
